,name,country,region,Population (millions),revision_id,article_quality
99,Sayyid Husayn,Afghanistan,SOUTH ASIA,41.1,1095559301,Stub
100,Suhail Shaheen,Afghanistan,SOUTH ASIA,41.1,1102910228,Start
101,Mohammad Shakir Kargar,Afghanistan,SOUTH ASIA,41.1,1096574840,C
102,Baktash Siawash,Afghanistan,SOUTH ASIA,41.1,1111917754,Stub
103,Awtar Singh,Afghanistan,SOUTH ASIA,41.1,1115100619,Stub
104,Hasan Ali Sultani,Afghanistan,SOUTH ASIA,41.1,1060706902,Stub
105,Faramarz Tamanna,Afghanistan,SOUTH ASIA,41.1,1106885861,C
106,Mohammad Hashem Taufiqui,Afghanistan,SOUTH ASIA,41.1,1021308429,Start
107,Nur ul-Haq Ulumi,Afghanistan,SOUTH ASIA,41.1,1107429109,GA
108,Pacha Gul Wafadar,Afghanistan,SOUTH ASIA,41.1,1020846299,Stub
109,Wahidullah Waissi,Afghanistan,SOUTH ASIA,41.1,1111508295,C
110,Gul Ahmmad Yama,Afghanistan,SOUTH ASIA,41.1,1060707715,Start
111,Al-Haj Suliman Yari,Afghanistan,SOUTH ASIA,41.1,1092426408,Stub
112,Abdul Salam Zaeef,Afghanistan,SOUTH ASIA,41.1,1106388504,GA
113,Abdul Zahir (Konar Education Minister),Afghanistan,SOUTH ASIA,41.1,1097261199,Stub
114,Mohammed Zaman,Afghanistan,SOUTH ASIA,41.1,1108389318,Start
115,Ziauddin (Afghan militia leader),Afghanistan,SOUTH ASIA,41.1,1095799892,Start
116,Qari Ziauddin,Afghanistan,SOUTH ASIA,41.1,1033608758,Start
117,Abdul Ghafor Zori,Afghanistan,SOUTH ASIA,41.1,994023417,Stub
118,Ali Pasha of Gusinje,Albania,SOUTHERN EUROPE,2.8,1114426634,GA
119,Ylli Asllani,Albania,SOUTHERN EUROPE,2.8,949182924,Start
120,Azis Tahir Ajdonati,Albania,SOUTHERN EUROPE,2.8,994501003,Stub
121,Bislim Bajgora,Albania,SOUTHERN EUROPE,2.8,1091800566,Start
122,Kastriot Berissa,Albania,SOUTHERN EUROPE,2.8,1094050369,Start
123,Bardhok Biba,Albania,SOUTHERN EUROPE,2.8,1110580984,C
124,Dervish Biçaku,Albania,SOUTHERN EUROPE,2.8,1106794267,Stub
125,Kostandin Boshnjaku,Albania,SOUTHERN EUROPE,2.8,1107876476,C
126,Spartak Braho,Albania,SOUTHERN EUROPE,2.8,1098235893,Start
127,Safet Butka,Albania,SOUTHERN EUROPE,2.8,1067080697,C
128,Uran Butka,Albania,SOUTHERN EUROPE,2.8,1087272778,Start
129,Refo Çapari,Albania,SOUTHERN EUROPE,2.8,1061419179,Start
130,Neritan Ceka,Albania,SOUTHERN EUROPE,2.8,1095178618,Start
131,Hysni Curri,Albania,SOUTHERN EUROPE,2.8,1114418989,Start
132,Ibrahim Dalliu,Albania,SOUTHERN EUROPE,2.8,1087026828,Start
133,Niazi Demi,Albania,SOUTHERN EUROPE,2.8,1104589367,Stub
134,Abdurrahman Dibra,Albania,SOUTHERN EUROPE,2.8,1101365003,Start
135,Fuad Dibra,Albania,SOUTHERN EUROPE,2.8,1079550815,Start
136,Isuf Dibra,Albania,SOUTHERN EUROPE,2.8,1108975040,Start
137,Bujar Dida,Albania,SOUTHERN EUROPE,2.8,1112281152,C
138,Ahmed Dino,Albania,SOUTHERN EUROPE,2.8,1114424802,Stub
139,Rasih Dino,Albania,SOUTHERN EUROPE,2.8,1067061654,Stub
140,Ferhat Bey Draga,Albania,SOUTHERN EUROPE,2.8,1101927317,C
141,Nexhip Draga,Albania,SOUTHERN EUROPE,2.8,1092914547,GA
142,Aqif Pasha Elbasani,Albania,SOUTHERN EUROPE,2.8,1114425909,B
143,Abas Ermenji,Albania,SOUTHERN EUROPE,2.8,1073827690,Start
144,Bajram Fevziu,Albania,SOUTHERN EUROPE,2.8,1089008480,Start
145,Qamil Musa Haxhi Feza,Albania,SOUTHERN EUROPE,2.8,1015553118,Stub
146,Themistokli Gërmenji,Albania,SOUTHERN EUROPE,2.8,1099714241,C
147,Sabri Godo,Albania,SOUTHERN EUROPE,2.8,1105835401,C
148,Mihal Grameno,Albania,SOUTHERN EUROPE,2.8,1095879069,C
149,Aćif Hadžiahmetović,Albania,SOUTHERN EUROPE,2.8,1104696112,GA
150,Albulena Haxhiu,Albania,SOUTHERN EUROPE,2.8,1095286065,Stub
151,High Council of Regency,Albania,SOUTHERN EUROPE,2.8,1107096289,C
152,Spiridon Kacarosi,Albania,SOUTHERN EUROPE,2.8,993288548,Stub
153,Kurt Agë Kadiu,Albania,SOUTHERN EUROPE,2.8,998414015,Stub
154,Mehmed Kalakula,Albania,SOUTHERN EUROPE,2.8,979382854,Stub
155,Alfred Karamuço,Albania,SOUTHERN EUROPE,2.8,1098236555,Stub
156,Ibrahim Karbunara,Albania,SOUTHERN EUROPE,2.8,1053849574,Start
